event_date,name,img_url,race_link,event_name,location
2024-04-28,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/thumbs/19723/19723_178.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178,Mangkunegaran Run In Solo 2024,
2024-04-07,"Bali Race Series 004 : Seseh Loop Du Jour 2024
Pantai Seseh",https://images.racetec.net/results/thumbs/19723/19723_172.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=172,Bali Race Series 004 : Seseh Loop Du Jour 2024,Pantai Seseh
2024-03-13,Trial Arwin,https://images.racetec.net/results/thumbs/19723/19723_163.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=163,Trial Arwin,
2024-03-03,"AIA Vitality Womens 10K 2024
Puro Mangkunegaran - Solo",https://images.racetec.net/results/thumbs/19723/19723_162.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=162,AIA Vitality Womens 10K 2024,Puro Mangkunegaran - Solo
2024-02-25,"Sportel Bali Triathlon
Jimbaran - Bali",https://images.racetec.net/results/thumbs/19723/19723_158.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158,Sportel Bali Triathlon,Jimbaran - Bali
2023-12-17,"Semarang 10K
Balaikota Semarang",https://images.racetec.net/results/thumbs/19723/19723_156.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=156,Semarang 10K,Balaikota Semarang
2023-12-10,"PLN Electric Run
SCIENTIA SQUARE PARK - SERPONG",https://images.racetec.net/results/thumbs/19723/19723_155.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155,PLN Electric Run,SCIENTIA SQUARE PARK - SERPONG
2023-11-19,"Borobudur Marathon
Magelang",https://images.racetec.net/results/thumbs/19723/19723_152.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152,Borobudur Marathon,Magelang
2023-11-12,"Palu Sport Event Half Marathon
Taman GOR - PALU",https://images.racetec.net/results/thumbs/19723/19723_151.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151,Palu Sport Event Half Marathon,Taman GOR - PALU
2023-10-08,"RunTill You Drop 6
Living World - Denpasar",https://images.racetec.net/results/thumbs/19723/19723_148.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148,RunTill You Drop 6,Living World - Denpasar
2023-10-08,"Pocari Sweat Sports Run Tourism
Solo",https://images.racetec.net/results/thumbs/19723/19723_150.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150,Pocari Sweat Sports Run Tourism,Solo
2023-10-01,"Raja Gunug Bali
Kintamani - Bali",https://images.racetec.net/results/thumbs/19723/19723_147.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=147,Raja Gunug Bali,Kintamani - Bali
2023-09-17,"SHA Run For Solo
Stadion Manahan - Solo",https://images.racetec.net/results/thumbs/19723/19723_146.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146,SHA Run For Solo,Stadion Manahan - Solo
2023-08-19,"Bali Ultra Trail
Kintamani - Bali",https://images.racetec.net/results/thumbs/19723/19723_144.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144,Bali Ultra Trail,Kintamani - Bali
2023-07-30,"BNN Run
Ubud - Bali",https://images.racetec.net/results/thumbs/19723/19723_139.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139,BNN Run,Ubud - Bali
2023-07-22,"Antangin Tour De Ambarrukmo
Plaza Ambarrukmo - Yogyakarta",https://images.racetec.net/results/thumbs/19723/19723_138.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=138,Antangin Tour De Ambarrukmo,Plaza Ambarrukmo - Yogyakarta
2023-07-09,"Palembang Half Marathon
Stadion Sriwijaya - Palembang",https://images.racetec.net/results/thumbs/19723/19723_136.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136,Palembang Half Marathon,Stadion Sriwijaya - Palembang
2023-07-02,"LPS Monas Half Marathon
Monas - Jakarta",https://images.racetec.net/results/thumbs/19723/19723_135.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135,LPS Monas Half Marathon,Monas - Jakarta
2023-06-11,"Lazada Run Indonesia
ICE - BSD - Tangerang",https://images.racetec.net/results/thumbs/19723/19723_133.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133,Lazada Run Indonesia,ICE - BSD - Tangerang
2023-04-30,"Cemagi Run
Seseh Beach",https://images.racetec.net/results/thumbs/19723/19723_132.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=132,Cemagi Run,Seseh Beach
2023-03-19,"Bali Race Series 002 Sunset Mile
Joshua District",https://images.racetec.net/results/thumbs/19723/19723_130.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=130,Bali Race Series 002 Sunset Mile,Joshua District
2023-03-12,"AIA Women's 10K
Jakarta",https://images.racetec.net/results/thumbs/19723/19723_127.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=127,AIA Women's 10K,Jakarta
2023-03-12,"Mangkunegaran Run In Solo 2023
Mangkunegara-Solo",https://images.racetec.net/results/thumbs/19723/19723_129.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=129,Mangkunegaran Run In Solo 2023,Mangkunegara-Solo
2023-02-19,"Bali Race Series - 001: Seseh Loop Time Tial
Pantai Seseh",https://images.racetec.net/results/thumbs/19723/19723_128.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=128,Bali Race Series - 001: Seseh Loop Time Tial,Pantai Seseh
2022-11-13,"Bank Jateng Tilik Candi
Candi Borobudur - Magelang",https://images.racetec.net/results/thumbs/19723/19723_124.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124,Bank Jateng Tilik Candi,Candi Borobudur - Magelang
2022-11-12,"Borobudur Marathon Elite Race and Bank Jateng Young Talent
Candi Borobudur - Magelang",https://images.racetec.net/results/thumbs/19723/19723_123.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123,Borobudur Marathon Elite Race and Bank Jateng Young Talent,Candi Borobudur - Magelang
2022-10-29,"PruRide Race
Gedung Sate - Bandung",https://images.racetec.net/results/thumbs/19723/19723_122.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122,PruRide Race,Gedung Sate - Bandung
2022-10-23,"Alfamart Run
Senayan - Jakarta",https://images.racetec.net/results/thumbs/19723/19723_121.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=121,Alfamart Run,Senayan - Jakarta
2022-09-25,"IL FESTINO
Stadion Mandala Krida - Jogjakarta",https://images.racetec.net/results/thumbs/19723/19723_119.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119,IL FESTINO,Stadion Mandala Krida - Jogjakarta
2022-08-14,"Mandiri Jogja Marathon 2022
Prambanan - Jogjakarta",https://images.racetec.net/results/thumbs/19723/19723_117.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117,Mandiri Jogja Marathon 2022,Prambanan - Jogjakarta
2022-08-07,"GFNY Bali
RESULTS: https://bali.gfny.com/results/",https://images.racetec.net/results/thumbs/19723/19723_115.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=115,GFNY Bali,RESULTS: https://bali.gfny.com/results/
2022-05-29,"Carangsari Heritage Run 2022
Carangsari - Badung",https://images.racetec.net/results/thumbs/19723/19723_113.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=113,Carangsari Heritage Run 2022,Carangsari - Badung
2022-02-20,"L'ETAPE Indonesia 2022
Mandalika - LOMBOK",https://images.racetec.net/results/thumbs/19723/19723_112.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112,L'ETAPE Indonesia 2022,Mandalika - LOMBOK
2021-11-28,"Borobudur Marathon Bank Jateng Tilik Candi
Magelang, Central Java",https://images.racetec.net/results/thumbs/19723/19723_108.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108,Borobudur Marathon Bank Jateng Tilik Candi,"Magelang, Central Java"
2021-11-27,"Borobudur Marathon Elite Race
Magelang, Central Java",https://images.racetec.net/results/thumbs/19723/19723_107.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107,Borobudur Marathon Elite Race,"Magelang, Central Java"
2021-05-29,"Kendari Triathlon
Kendari - Sulawesi Tenggara",https://images.racetec.net/results/thumbs/19723/19723_105.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=105,Kendari Triathlon,Kendari - Sulawesi Tenggara
2021-04-09,"Westlake Ultra24hours
9 to 10 April",https://images.racetec.net/results/thumbs/19723/19723_104.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104,Westlake Ultra24hours,9 to 10 April
2020-12-13,"Nusantarun Chapter 8 Virtual Challenge
13 Dec - 1 January 2021",https://images.racetec.net/results/thumbs/19723/19723_102.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=102,Nusantarun Chapter 8 Virtual Challenge,13 Dec - 1 January 2021
2020-11-15,"BOROBUDUR MARATHON
Magelang - Jawa Tengah",https://images.racetec.net/results/thumbs/19723/19723_100.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=100,BOROBUDUR MARATHON,Magelang - Jawa Tengah
2020-10-01,"JAWARAVR 60K RUN
1 Oct - 22 Nov 2020",https://images.racetec.net/results/thumbs/19723/19723_99.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=99,JAWARAVR 60K RUN,1 Oct - 22 Nov 2020
2020-07-27,"RUN YOUR LOKAL
27/7 - 27/8 '20",https://images.racetec.net/results/thumbs/19723/19723_95.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=95,RUN YOUR LOKAL,27/7 - 27/8 '20
2020-06-07,"Group Astra Bali WED Virtual Run
5 - 7 June 2020",https://images.racetec.net/results/thumbs/19723/19723_94.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=94,Group Astra Bali WED Virtual Run,5 - 7 June 2020
2020-03-15,"Nasional Udayana Hippocrates BNI Run
Renon Denpasar Bali",https://images.racetec.net/results/thumbs/19723/19723_90.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=90,Nasional Udayana Hippocrates BNI Run,Renon Denpasar Bali
2020-03-08,"SANA Women's 10K
South Jakarta",https://images.racetec.net/results/thumbs/19723/19723_84.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=84,SANA Women's 10K,South Jakarta
2020-02-23,"Palembang Triathlon
JAKABARING SPORT CITY",https://images.racetec.net/results/thumbs/19723/19723_81.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81,Palembang Triathlon,JAKABARING SPORT CITY
2020-02-23,"GFNY BALI
GIANYAR - BALI",https://images.racetec.net/results/thumbs/19723/19723_3002.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002,GFNY BALI,GIANYAR - BALI
2020-02-22,"Palembang Triathlon
Elite-Military Police-Youth",https://images.racetec.net/results/thumbs/19723/19723_80.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80,Palembang Triathlon,Elite-Military Police-Youth
2020-01-12,"Sun Life Resolution Run
Indonesia Convention Exebition (ICE) BSD City Tanggerang Selatan",https://images.racetec.net/results/thumbs/19723/19723_79.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=79,Sun Life Resolution Run,Indonesia Convention Exebition (ICE) BSD City Tanggerang Selatan
2019-12-15,"Semarang 10K
Semarang City Hall",https://images.racetec.net/results/thumbs/19723/19723_78.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=78,Semarang 10K,Semarang City Hall
2019-11-17,"Borobudur Marathon
17 November 2019",https://images.racetec.net/results/thumbs/19723/19723_66.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=66,Borobudur Marathon,17 November 2019
2019-11-03,"Astra Half Marathon
3 Nov 2019",https://images.racetec.net/results/thumbs/19723/19723_67.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=67,Astra Half Marathon,3 Nov 2019
2019-11-03,"Run Makassar Half Marathon 2019
3 NOVEMBER 2019",https://images.racetec.net/results/thumbs/19723/19723_3001.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001,Run Makassar Half Marathon 2019,3 NOVEMBER 2019
2019-09-22,"Combi Run
QBig BSD City, Tangerang",https://images.racetec.net/results/thumbs/19723/19723_63.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=63,Combi Run,"QBig BSD City, Tangerang"
2019-09-15,"Jakarta Kizuna Ekiden
15th September 2019",https://images.racetec.net/results/thumbs/19723/19723_64.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64,Jakarta Kizuna Ekiden,15th September 2019
2019-09-01,"Bromo Marathon
1 September 2019",https://images.racetec.net/results/thumbs/19723/19723_61.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61,Bromo Marathon,1 September 2019
2019-03-31,"Run Til You Drop 5
31 March 2019",https://images.racetec.net/results/thumbs/19723/19723_50.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50,Run Til You Drop 5,31 March 2019
