Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
251,201,NTN BEARING 2,01:05:39,01:04:45,00:14:06,00:00:44,00:16:50,00:00:40,00:14:59,00:00:26,00:17:52,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9884,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
252,162,GSI,01:05:50,01:05:13,00:21:50,00:00:48,00:17:36,00:00:25,00:15:01,00:00:24,00:09:43,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9845,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
253,19,OTSUKA 8,01:05:50,01:05:12,00:18:40,00:00:45,00:15:09,00:00:34,00:12:17,00:00:41,00:17:41,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9702,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
254,90,PANASONIC GOBEL ENERGY TEAM FINANCE,01:05:53,01:05:10,00:13:18,00:00:44,00:13:58,00:00:29,00:17:47,00:01:06,00:18:28,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9773,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
255,284,MMKI 12,01:05:59,01:05:02,00:18:13,00:00:42,00:16:06,00:00:29,00:16:12,00:00:42,00:13:32,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9967,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
256,119,SOMPO 1,01:06:08,01:02:58,00:17:37,00:00:37,00:16:14,00:00:31,00:16:44,00:00:29,00:13:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9802,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
257,264,MMKI 06,01:06:13,01:05:10,00:11:58,00:00:37,00:21:25,00:00:39,00:17:36,00:00:28,00:13:26,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9947,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
258,40,TOKYU LAND 7,01:06:19,01:05:32,00:16:20,00:00:44,00:12:13,00:07:00,00:16:47,00:00:30,00:12:42,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9723,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
259,35,TOKYU LAND 2,01:06:19,01:05:34,00:18:36,00:00:37,00:16:27,00:00:39,00:18:08,00:00:32,00:11:16,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9718,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
260,58,CHIYODA SAE 04,01:06:20,01:05:41,00:13:33,00:00:44,00:19:02,00:00:51,00:16:12,00:00:36,00:15:19,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9741,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
261,3,PANIN DAI ICHI LIFE 2,01:06:26,01:06:26,00:09:45,00:00:29,00:18:58,00:00:40,00:19:05,00:00:34,00:16:52,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9686,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
262,365,MITSUI UNITED,01:06:41,01:05:50,00:11:16,00:00:31,00:19:55,00:00:47,00:19:46,00:00:28,00:13:56,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10048,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
263,300,TEAM ITOCHU C,01:06:45,01:05:37,00:21:20,00:00:49,00:15:09,00:00:35,00:11:19,00:00:32,00:16:58,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9983,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
264,358,MSIG TEAM 2,01:06:48,01:06:06,00:15:38,00:00:43,00:12:42,00:00:33,00:13:36,00:00:31,00:23:03,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10041,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
265,247,MMKI 03,01:06:52,01:05:54,00:12:54,00:00:43,00:14:20,00:00:35,00:17:22,00:00:26,00:20:29,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9930,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
266,322,TAKENAKA5,01:06:59,01:06:01,00:14:09,00:00:41,00:16:18,00:00:33,00:18:02,00:00:28,00:16:44,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10005,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
267,301,TEAM ITOCHU D,01:07:04,01:06:16,00:20:00,00:00:42,00:16:32,00:00:37,00:13:34,00:00:31,00:15:06,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9984,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
