Pos,Race No,Name,Time,Net Time,race_name,race_large_logo,race_category,runner_id,race_link
1,5281,TEAM DIRGAHAYU 328,01:10:30,01:10:30,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24674,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
2,5131,TEAM TRACK AND ROAD CLUB NTB,01:11:18,01:11:17,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24659,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
3,5101,TEAM TUKANG NGEBUT,01:25:49,01:25:48,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24656,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
4,5011,TEAM BRB II,01:28:24,01:28:24,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24647,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
5,5021,TEAM BRB SATU,01:28:51,01:28:50,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24648,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
6,5161,TEAM SMK PERGURUAN CIKINI,01:42:43,01:42:41,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24662,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
7,5351,TEAM SEDOELOERUN,01:44:14,01:44:13,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24681,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
8,5221,TEAM SMA MUTIARA BANGSA 2,01:48:15,01:48:13,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24668,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
9,5081,TEAM WE ARE KOMBAT,01:48:16,01:47:43,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24654,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
10,5321,TEAM RIO,01:49:18,01:49:16,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24678,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
11,5381,TEAM CANIRUNNERS,01:50:09,01:50:06,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24684,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
12,5181,TEAM SMA HANG TUAH,01:50:49,01:46:21,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24664,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
13,5301,TEAM KEMBANG HARUM BCA,01:51:45,01:51:43,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24676,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
14,5341,TEAM DE LATINOS RUNNERS,01:53:55,01:53:43,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
15,5231,TEAM SMA NOTRE DAME,01:55:40,01:54:57,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24669,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
16,5071,TEAM ENNETRA,02:00:00,01:59:58,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24653,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
17,5141,TEAM RFI CEMARA,02:00:00,01:59:57,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24660,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
18,5291,TEAM PHG RUNNERS CIHUY,02:00:39,02:00:37,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24675,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
19,5191,TEAM M TAUFIQ,02:03:18,02:00:30,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24665,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
20,5371,TEAM SABANG MERAUKE,02:07:22,02:07:20,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24683,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
21,5271,TEAM GALAXY RUNNING CLUB,02:09:52,02:09:51,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24673,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
22,5151,TEAM M AFGHAN,02:10:07,02:07:20,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24661,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
23,5051,TEAM GORUN SQUAD,02:10:45,02:10:42,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24651,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
24,5241,TEAM SMA ORA ET LABORA,02:12:49,02:12:48,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24670,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
25,5311,TEAM PELARI KETJEH,02:16:02,02:15:58,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24677,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
26,5041,TEAM NUNURUN,02:16:18,02:16:16,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24650,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
27,5121,TEAM RUN FOR INDONESIA,02:18:09,02:18:08,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24658,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
28,5201,TEAM SMA KELUARGA WIDURI,02:21:54,02:17:24,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24666,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
29,5361,TEAM TCRxPHG,02:22:43,02:22:43,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24682,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
30,5061,TEAM RCS,02:40:40,02:40:36,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24652,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
31,5031,TEAM GAB RUNNERS,02:45:02,02:44:52,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24649,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
32,5171,TEAM BEERUNNERS,02:45:18,02:44:52,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24663,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
33,5091,TEAM PIG RUNNER,02:50:09,02:50:06,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24655,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
34,5331,TEAM FLYING SQUIRRELS,02:54:12,02:33:28,CombiRun,https://images.racetec.net/results/racelogo/19723/19723_20.jpg,21K Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-20-6-24679,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20
