Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,11,IVAN VLASENKO,04:41:13,ALL AGES,1,Male,1,Russia,00:37:34,02:24:48,01:34:31,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45687,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
2,26,SALVADOR ALARCON ALACIO,04:56:16,ALL AGES,2,Male,2,Spain,00:38:26,02:24:45,01:47:06,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45702,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
3,3,ABDOULLAH MITICHE,05:00:21,ALL AGES,3,Male,3,Algeria,00:49:26,02:21:22,01:29:58,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45679,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
4,9,ADY AKHMAD JUKARDI,05:12:14,ALL AGES,4,Male,4,Indonesia,00:42:48,02:26:01,01:58:44,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45685,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
5,1,ROY WIJAYA,05:15:13,ALL AGES,5,Male,5,Indonesia,00:33:44,02:30:45,02:05:37,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45677,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
6,31,STEPHEN DOW,05:25:05,ALL AGES,6,Male,6,Great Britain,00:40:15,02:35:50,02:03:11,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45707,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
7,38,DANIEL DOUGLAS,05:25:41,ALL AGES,7,Male,7,New Zealand,00:38:21,02:31:48,02:08:17,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45714,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
8,35,EVA DESIANA,05:26:32,ALL AGES,1,Female,1,Indonesia,00:43:11,02:47:41,01:51:01,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45711,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
9,34,SARAH VIRGINIA COSTEIRA,05:30:12,ALL AGES,2,Female,2,Portugal,00:44:45,02:45:52,01:53:24,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45710,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
10,29,TIMO FRANCISCUS,05:30:14,ALL AGES,8,Male,8,Indonesia,00:41:44,02:45:36,01:55:57,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45705,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
11,33,JOHN FRANCIS BLYTHER,05:33:17,ALL AGES,9,Male,9,Great Britain,00:41:02,02:48:50,01:55:52,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45709,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
12,24,GUNTUR WIBOWO,05:49:36,ALL AGES,10,Male,10,Indonesia,00:43:35,02:47:55,02:08:32,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45700,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
13,27,IVAN CASADEVALL PARRA,05:55:02,ALL AGES,11,Male,11,Spain,00:46:40,02:45:34,02:13:36,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45703,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
14,40,HELEN TAN,06:05:05,ALL AGES,3,Female,3,Indonesia,00:50:54,02:58:02,02:05:55,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
15,32,HARTANTO BAHARI NG,06:09:35,ALL AGES,12,Male,12,Indonesia,00:55:50,02:51:24,02:11:46,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45708,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
16,19,TAUFIQ TAUFIQ,06:29:57,ALL AGES,13,Male,13,Indonesia,00:50:52,02:48:31,02:40:23,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45695,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
17,6,GEDE ANGGA REGINA MARTHA,06:52:54,ALL AGES,14,Male,14,Indonesia,00:56:29,02:50:01,02:57:31,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45682,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
18,15,EKO ABDURRAHMAN SALEH,06:54:21,ALL AGES,15,Male,15,Indonesia,00:00:00,02:59:51,02:52:09,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45691,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
