Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,345,KODAM XIV HASAN,02:08:52,RELAY,1,Mixed,1,,00:22:23,01:03:29,00:39:33,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46178,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
2,343,BLUE EAGLE,02:52:41,RELAY,2,Mixed,2,,00:46:23,01:14:18,00:46:34,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46176,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
3,342,WHITE SANCA,02:58:10,RELAY,3,Mixed,3,,00:37:27,01:21:39,00:54:26,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46175,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
4,339,BUNMAG,03:06:52,RELAY,4,Mixed,4,,00:37:09,01:17:38,01:05:21,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46172,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
5,334,ETERNITRI,03:08:31,RELAY,5,Mixed,5,,00:37:38,01:10:28,01:13:50,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46167,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
6,341,RED PHOENIX,03:13:32,RELAY,6,Mixed,6,,00:38:48,01:20:25,01:09:51,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46174,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
7,340,RAEZ,03:26:58,RELAY,7,Mixed,7,,00:42:30,01:17:52,01:18:45,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46173,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
8,331,INFINITRI,03:35:57,RELAY,8,Mixed,8,,00:34:03,01:52:23,01:01:21,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46164,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
9,332,DBUNTELS,03:42:04,RELAY,9,Mixed,9,,00:39:07,01:28:19,01:28:15,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46165,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
10,335,TRIFIVEO,04:02:36,RELAY,10,Mixed,10,,00:51:37,01:44:30,01:19:38,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46168,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
11,333,ABALICIOUS,04:14:24,RELAY,11,Mixed,11,,00:35:57,01:41:40,01:43:10,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46166,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
12,338,TJITRO007,04:46:06,RELAY,12,Mixed,12,,00:50:03,02:10:49,01:37:44,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46171,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
13,336,GORGEOUS PSI LAPANAM,04:47:01,RELAY,1,Male,1,,00:57:32,01:54:09,01:47:37,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46169,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
14,337,VM 007,04:47:09,RELAY,13,Mixed,13,,00:49:59,02:11:51,01:38:44,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-4-46170,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
