Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
151,205,LOE SUKAMIN,04:15:38,E (MALE 38-43),43,Male,131,Indonesia,00:49:08,01:43:59,01:31:51,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45821,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
152,149,BUDIMAN HARTONO,04:15:49,C (MALE 32-37),28,Male,132,Indonesia,00:50:51,01:40:36,01:31:02,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45765,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
153,168,ROY ISKANDAR,04:16:03,E (MALE 38-43),44,Male,133,Indonesia,00:50:30,01:35:00,01:39:45,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45784,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
154,166,NUGROHO WARMAN,04:16:46,E (MALE 38-43),45,Male,134,Indonesia,00:52:38,01:40:38,01:32:17,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45782,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
155,170,MASAYA UCHIDA,04:17:44,E (MALE 38-43),46,Male,135,Japan,00:51:40,02:08:22,01:03:51,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45786,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
156,302,SYLVIA SARDY,04:17:58,F (FEMALE 38-43),8,Female,21,Indonesia,00:49:36,01:47:20,01:27:50,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45918,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
157,210,AGUS SANTOSA,04:18:25,E (MALE 38-43),47,Male,136,Indonesia,00:49:47,01:37:08,01:37:33,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45826,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
158,150,GREGORIUS HARMOKO WIRODIHARDJO,04:19:20,C (MALE 32-37),29,Male,137,Indonesia,00:53:07,01:37:59,01:34:24,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45766,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
159,307,FEBE CLAUDIA TANUDIRJA,04:19:32,H (FEMALE 44-49),3,Female,22,Indonesia,00:54:41,01:33:56,01:40:11,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45923,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
160,231,DENNY PASARIBU,04:22:03,G (MALE 44-49),27,Male,138,Indonesia,00:47:38,01:31:25,01:49:51,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45847,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
161,285,MAYA ANGGRAENY,04:23:57,D (FEMALE 32-37),5,Female,23,Indonesia,00:54:20,01:36:06,01:42:53,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45901,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
162,208,MUHAMMAD RAKHMADHANI,04:24:04,E (MALE 38-43),48,Male,139,Indonesia,00:51:43,01:42:38,01:32:47,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45824,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
163,253,EDWIN NAFARIN,04:24:27,G (MALE 44-49),28,Male,140,Indonesia,00:47:58,01:43:35,01:38:21,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45869,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
164,181,BASUKI KURNIAWAN,04:24:30,E (MALE 38-43),49,Male,141,Indonesia,00:56:57,01:38:39,01:38:05,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45797,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
165,161,FREDY SETIAWAN,04:26:38,E (MALE 38-43),50,Male,142,Indonesia,00:57:29,01:33:51,01:37:19,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45777,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
166,125,BISMA MUHAMMAD,04:26:46,C (MALE 32-37),30,Male,143,Indonesia,00:48:25,01:44:39,01:46:08,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45741,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
167,123,EDEM VINCENTIUS,04:27:08,C (MALE 32-37),31,Male,144,Indonesia,00:48:46,01:40:12,01:44:58,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45739,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
168,277,LUKMAN TEDJI,04:27:13,J (MALE 50+),18,Male,145,Indonesia,01:01:05,01:40:54,01:26:57,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45893,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
169,128,IRHAM HADIANSYAH,04:28:41,C (MALE 32-37),32,Male,146,Indonesia,00:58:06,01:40:32,01:38:01,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45744,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
170,243,FERRY WIDYAHADI WIRAATMADJA,04:28:47,G (MALE 44-49),29,Male,147,Indonesia,00:45:24,01:44:11,01:46:35,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45859,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
171,304,VERANIA ANDRIA,04:29:29,F (FEMALE 38-43),9,Female,24,Indonesia,01:00:04,01:45:05,01:30:58,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45920,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
172,122,ADITYA HUTAMA PUTRA,04:30:48,C (MALE 32-37),33,Male,148,Indonesia,00:56:00,01:36:15,01:46:37,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45738,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
173,142,YUSUF KARYA TRIJADI,04:32:31,C (MALE 32-37),34,Male,149,Indonesia,00:45:05,01:28:16,02:06:44,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45758,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
174,188,ALDI GARIBALDI,04:33:02,E (MALE 38-43),51,Male,150,Indonesia,00:44:09,01:42:32,01:52:52,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45804,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
175,250,CHRISTIAN ALDRIANIC RENGKUNG,04:33:38,G (MALE 44-49),30,Male,151,Indonesia,00:52:25,01:39:39,01:47:25,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45866,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
176,134,ARIFKI ARIFKI,04:35:40,C (MALE 32-37),35,Male,152,Indonesia,00:49:09,01:30:28,02:01:11,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45750,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
