Pos,Race No,Name,Time,Category,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,2,JAUHARI JOHAN,02:05:00,Men,Male,1,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129928,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
2,6,BLAKE KAPPLER,02:06:18,Men,Male,2,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129932,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
3,1,MUHAMMAD AHLULFIRMAN,02:07:46,Men,Male,3,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129927,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
4,4,ALBERT WIJAYA,02:08:09,Men,Male,4,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129930,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
5,20,NETHAVANI OCTARIA,02:22:08,Women,Female,1,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129945,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
6,9,MARLINGGA ALFEDO,02:23:10,Men,Male,5,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129935,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
7,8,KENT WIJAYA,02:24:07,Men,Male,6,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129934,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
8,22,INGE PRASETYO,02:26:16,Women,Female,2,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129947,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
9,3,ABDUR ROHMAN,02:29:11,Men,Male,7,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129929,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
10,10,MUHAMMAD SUTYO NUGRAHA,02:30:40,Men,Male,8,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129936,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
11,24,VARRA DINDA,02:31:12,Women,Female,3,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129949,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
12,21,ASIHTA AULIA AZZAHRA,02:44:13,Women,Female,4,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,STANDARD ELITE,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-2-129946,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
