Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Finished,race_name,race_large_logo,race_category,runner_id,race_link
1,12,Agus Prayogo,02:32:21,All Ages,1,Male,1,00:13:08,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136550,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
2,9,Muhammad Ady Saputra,02:35:30,All Ages,2,Male,2,00:13:50,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136547,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
3,18,Iqbal Saputra,02:38:06,All Ages,3,Male,3,00:13:41,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136556,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
4,27,Reza Aulia Pradipta,02:38:39,All Ages,4,Male,4,00:13:45,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136564,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
5,13,Atjong Tio Purwanto,02:39:44,All Ages,5,Male,5,00:14:27,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136551,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
6,15,Moh Ishari,02:40:29,All Ages,6,Male,6,00:15:00,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136553,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
7,8,Nurshodiq,02:45:40,All Ages,7,Male,7,00:14:14,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136546,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
8,10,Rudi Febriade,02:46:03,All Ages,8,Male,8,00:15:50,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136548,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
9,26,Pandu Sukarya,02:47:29,All Ages,9,Male,9,00:19:06,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136563,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
10,6,Asma Bara,02:48:40,All Ages,10,Male,10,00:13:52,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136544,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
11,1,Betmen Manurung,02:50:08,All Ages,11,Male,11,00:14:33,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136539,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
12,24,Achmad Badriyanto,02:59:36,All Ages,12,Male,12,00:16:46,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136561,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
13,23,Risqi Dwi Kurniawan,03:00:08,All Ages,13,Male,13,00:16:31,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136560,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
14,7,Nugroho,03:01:56,All Ages,14,Male,14,00:16:32,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136545,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
15,104,Odekta Elvina Naibaho,03:02:48,All Ages,1,Female,1,00:16:01,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136568,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
16,16,Musa,03:02:54,All Ages,15,Male,15,00:19:45,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136554,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
17,2,Suwandi,03:04:36,All Ages,16,Male,16,00:22:48,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136540,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
18,21,Aditya Madya Pamungkas,03:10:23,All Ages,17,Male,17,00:23:07,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136558,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
19,5,Imam Mahdin,03:10:30,All Ages,18,Male,18,00:21:19,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136543,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
20,4,Eldak Kafolamau,03:17:10,All Ages,19,Male,19,00:24:09,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136542,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
21,101,Pretty Sihite,03:18:59,All Ages,2,Female,2,00:16:47,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136565,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
22,102,Irma Handayani,03:19:13,All Ages,3,Female,3,00:17:01,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136566,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
23,108,Westi Indah,03:21:36,All Ages,4,Female,4,00:17:29,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136572,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
24,110,Yulianti Utari,03:22:31,All Ages,5,Female,5,00:18:24,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136574,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
25,106,Yulianingsih,03:24:07,All Ages,6,Female,6,00:18:11,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136570,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
26,105,Triyaningsih,03:30:35,All Ages,7,Female,7,00:18:57,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136569,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
27,116,Yanitasari,03:34:31,All Ages,8,Female,8,00:19:51,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136580,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
28,103,Sharfina Sheila Rosada,03:36:52,All Ages,9,Female,9,00:18:59,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136567,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
29,112,Novita,03:41:32,All Ages,10,Female,10,00:20:20,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136576,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
30,11,Amri Wahyudin,03:49:53,All Ages,20,Male,20,00:21:59,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136549,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,3,Hamdan Syafril Sayuti,DNF,All Ages,,Male,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136541,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,14,Ridwan,DNF,All Ages,,Male,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136552,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,17,Isak Cerlintho Aleut,DNF,All Ages,,Male,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136555,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,20,Octovianus Erwin Beke,DNF,All Ages,,Male,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136557,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,22,Dikki Abdul Majid,DNF,All Ages,,Male,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136559,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,25,Elisar Gamashi,DNF,All Ages,,Male,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136562,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,107,Juni Ramayani,DNF,All Ages,,Female,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136571,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,109,Risa Wijayanti,DNF,All Ages,,Female,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136573,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,111,Inarotul Carifah,DNF,All Ages,,Female,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136575,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,113,Anjellika Br Ginting,DNF,All Ages,,Female,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136577,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,114,Vanny Vanessa Cristian,DNF,All Ages,,Female,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136578,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
,115,Tria Suryati Ningsih,DNF,All Ages,,Female,,,Borobudur Marathon Elite Race,http://results.scorenow.co.id/Images/Clients/19723.png,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-107-1-136579,http://results.scorenow.co.id/results.aspx?CId=19723&RId=107
