Pos,Race No,Name,Net Time,Category,Cat Pos,Gender,Gen Pos,Finished,race_name,race_large_logo,race_category,runner_id,race_link
51,1078,Elisa Septriyani,02:22:24,All Ages,13,Female,13,00:25:43,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136651,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
52,1128,Atikoh,02:23:09,All Ages,14,Female,14,00:23:53,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136701,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
53,1062,Jamin Ginting,02:24:18,All Ages,39,Male,39,00:25:39,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136635,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
54,1033,Verry Firmansyah,02:25:21,All Ages,40,Male,40,00:27:50,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136606,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
55,1093,Aris Dwi Hadi,02:25:50,All Ages,41,Male,41,00:24:49,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136666,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
56,1039,Mario Valentino Nara,02:26:19,All Ages,42,Male,42,00:25:37,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136612,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
57,1082,Sumitro Muharram,02:27:53,All Ages,43,Male,43,00:29:16,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136655,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
58,1032,Bonchi Bonita,02:28:00,All Ages,15,Female,15,00:26:29,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136605,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
59,1137,Cut Putri,02:28:01,All Ages,16,Female,16,00:24:23,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136710,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
60,1045,Adji Pramono,02:28:30,All Ages,44,Male,44,00:28:47,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136618,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
61,1046,Mulyadi,02:28:33,All Ages,45,Male,45,00:24:28,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136619,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
62,1025,Adityawarman,02:28:55,All Ages,46,Male,46,00:30:27,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136598,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
63,1159,Dede Aji Purnomo,02:29:15,All Ages,47,Male,47,00:24:28,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136732,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
64,1061,Tri Tiarsih Widasari,02:29:40,All Ages,17,Female,17,00:27:00,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136634,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
65,1012,Sudarno,02:30:08,All Ages,48,Male,48,00:40:30,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136585,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
66,1055,Bagus Dwi Endrayana,02:30:28,All Ages,49,Male,49,00:25:27,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136628,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
67,1059,Freddy Paul Sidabutar,02:31:36,All Ages,50,Male,50,00:27:47,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136632,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
68,1115,Sandy Atmadja,02:32:26,All Ages,51,Male,51,00:34:29,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136688,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
69,1119,Yudi Marsudi,02:32:46,All Ages,52,Male,52,00:26:51,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136692,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
