Pos,Bib No,Name,Category,Cat Pos,Gender,race_name,race_large_logo,race_category,runner_id,race_link
101,215,Defri Rahmatullah,Overall,91,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161479,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
102,396,Irene Grace,Overall,11,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161660,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
103,172,Agus Hadian Rahim,Overall,92,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161436,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
104,164,Axel Suryadhinata,Overall,93,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161428,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
105,229,Sumardhyono Haryoto,Overall,94,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161493,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
106,299,Hendra Ghifari,Overall,95,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161563,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
107,270,Herzugi Nanda,Overall,96,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161534,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
108,291,Aditya Mohamad,Overall,97,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161555,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
109,365,Irvan Aditya Rahman,Overall,98,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161629,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
110,274,Ichsandy Kusuma,Overall,99,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161538,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
111,121,Asep Jujun,Overall,100,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161385,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
112,269,Aninda Sekar Kinanti,Overall,12,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161533,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
113,340,Epo Kusumah,Overall,101,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161604,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
114,364,Ahmad Subki,Overall,102,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161628,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
115,339,Mikki Muhammad,Overall,103,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161603,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
116,124,Marwedhi Nurratyo,Overall,104,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161388,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
117,297,Donny Sulauman,Overall,105,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161561,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
118,338,Rizka Ferdiansyah,Overall,106,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161602,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
119,347,Mulia Prasasya,Overall,107,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161611,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
120,203,Budjang Lioe,Overall,108,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161467,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
121,395,susana Moelyastuti,Overall,13,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161659,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
122,214,Ezzy Ahfi,Overall,109,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161478,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
123,186,Ade Hermawan,Overall,110,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161450,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
124,219,Wildzn Hamdani,Overall,111,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161483,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
125,351,Dina Rubiana,Overall,14,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161615,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
126,260,Wenry Harefa,Overall,112,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161524,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
127,272,Yahya Nuzwar,Overall,113,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161536,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
128,213,Taufik Mappaenre,Overall,114,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161477,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
129,104,Nuruddin Al Fithroh,Overall,115,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161368,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
130,140,Freddy Tedjasendjaja,Overall,116,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161404,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
131,157,Wawan Ridwan,Overall,117,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161421,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
132,202,Yopy Febriansyah,Overall,118,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161466,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
133,154,Dedy Riu,Overall,119,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161418,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
134,320,Muchamad Amar Maruf,Overall,120,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161584,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
135,146,Richardus Victor,Overall,121,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161410,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
136,362,M. Ridlo Saleh,Overall,122,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161626,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
137,145,Yovan Santana,Overall,123,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161409,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
138,294,Mohammad Handy,Overall,124,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161558,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
139,277,Steven William,Overall,125,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161541,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
140,346,Rizki Nandauli,Overall,126,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161610,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
141,126,Rizky Soema Di Pradja,Overall,127,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161390,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
142,188,Singgih F,Overall,128,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161452,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
143,282,Marta Sri Wasitaningsih,Overall,15,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161546,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
144,151,Muhammad Adriansyah,Overall,129,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161415,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
