Pos,Race No,Name,Time,Gender,Gen Pos,CP1 - KM 2,"CP2 - KM 5,37","CP3 - KM 8,81",Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,502,Fadhil Aulia Mufti,00:34:02,Male,1,00:06:57,00:11:09,00:11:30,00:04:24,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161702,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
2,503,Efrianto Saputra,00:34:42,Male,2,00:07:01,00:11:32,00:11:46,00:04:22,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161703,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
3,504,Muhammad Iqra Syahputra,00:35:01,Male,3,00:07:01,00:11:32,00:11:54,00:04:33,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161704,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
4,507,Farhan Abdul Latif,00:36:06,Male,4,00:07:08,00:12:00,00:12:21,00:04:36,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161707,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
5,506,Anggasta Mulky Damara,00:37:01,Male,5,00:07:08,00:12:29,00:12:47,00:04:35,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161706,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
6,514,Deon Parera,00:38:38,Male,6,00:07:16,00:13:03,00:13:20,00:04:57,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161714,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
7,508,Muhammad Panji Wijaya,00:39:02,Male,7,00:07:43,00:13:05,00:13:22,00:04:51,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161708,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
8,517,Muhammad Hammam Nasrudin,00:39:02,Male,8,00:07:42,00:13:05,00:13:22,00:04:51,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161717,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
9,505,M. Wahyu Naufal Abdurrozaq,00:39:32,Male,9,00:07:17,00:13:34,00:13:48,00:04:51,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161705,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
10,513,Farelino Armed Kusmana,00:39:37,Male,10,00:07:51,00:13:20,00:13:31,00:04:53,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161713,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
11,512,Sindu Krisna Mukti,00:39:41,Male,11,00:07:09,00:12:58,00:13:47,00:05:45,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161712,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
12,510,Indra Setiawan,00:40:15,Male,12,00:07:49,00:13:26,00:13:53,00:05:07,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161710,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
13,516,Robby Wahyu Nur Cahyo,00:41:02,Male,13,00:08:21,00:13:36,00:13:53,00:05:10,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
14,511,Willys Dewantara Mudana,00:43:17,Male,14,00:07:51,00:13:26,00:16:21,00:05:36,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161711,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
15,523,Idul Wibowo,00:44:09,Male,15,00:08:32,00:14:49,00:15:20,00:05:27,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161723,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
16,515,Pamungkas Anggoyom,00:44:36,Male,16,00:08:11,00:14:40,00:15:44,00:05:59,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161715,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
17,509,Akbar Ardana Mario Sheva,00:45:24,Male,17,00:08:17,00:15:05,00:16:00,00:06:00,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161709,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
18,520,Laksamana Putra Ramadhan,00:46:09,Male,18,00:08:17,00:15:39,00:16:25,00:05:47,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161720,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
19,522,Mandaziat Alamsyah,00:46:21,Male,19,00:08:33,00:15:23,00:16:25,00:05:59,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161722,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
20,602,Nur Aslamiyah Irja Pasa,00:46:54,Female,1,00:08:53,00:15:45,00:16:11,00:06:04,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161725,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
21,601,Azziyati Dina Amalina,00:47:51,Female,2,00:09:10,00:15:46,00:16:44,00:06:10,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161724,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
22,603,Nagita Yuniar Kurniasari,00:48:36,Female,3,00:08:44,00:16:20,00:17:22,00:06:08,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161726,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
23,604,Naura Yumna Dhau,00:51:19,Female,4,00:09:23,00:17:19,00:18:10,00:06:26,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161727,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
24,606,Syarifa Dina Kharisma,00:53:26,Female,5,00:09:30,00:17:56,00:18:59,00:07:00,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161729,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
25,607,Zahra Bintang Sazkia,00:54:00,Female,6,00:10:25,00:18:17,00:18:40,00:06:36,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161730,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,501,Khoirul Rihuda,DNF,Male,,00:08:38,00:16:03,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Bank Jateng Young Talent,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-2-161701,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
