Pos,Race No,Name,Time,Gender,Gen Pos,CP 1 - KM 5,CP 2 - KM 10,"CP 3 - KM 21,1","CP 4 - KM 34,7",Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,5,Nurshodiq,02:38:05,Male,1,00:18:49,00:37:30,01:19:09,02:10:04,02:38:05,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161668,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
2,15,Irmansah,02:39:58,Male,2,00:19:00,00:37:46,01:19:10,02:11:02,02:39:58,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161678,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
3,9,Musa,02:40:34,Male,3,00:19:13,00:38:04,01:19:23,02:11:04,02:40:34,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161672,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
4,2,Iqbal Saputra,02:43:08,Male,4,00:19:01,00:37:47,01:19:37,02:12:46,02:43:08,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161665,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
5,1,Muhammad Ady Saputra,02:45:11,Male,5,00:18:50,00:37:31,01:19:04,02:11:56,02:45:11,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161664,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
6,10,Suwandi,02:46:26,Male,6,00:19:01,00:37:46,01:19:08,02:13:42,02:46:26,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161673,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
7,4,Moh Ishari,02:48:38,Male,7,00:19:07,00:38:04,01:20:00,02:15:07,02:48:38,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161667,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
8,18,Azwar,02:50:52,Male,8,00:19:26,00:38:50,01:22:26,02:18:05,02:50:52,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161681,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
9,16,Firton Lumban Toruan,02:55:28,Male,9,00:19:29,00:38:36,01:21:13,02:20:01,02:55:28,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161679,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
10,19,Sunardin,03:04:39,Male,10,00:19:13,00:38:04,01:22:26,02:23:29,03:04:39,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161682,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
11,6,Achmad Badriyanto,03:06:39,Male,11,00:19:25,00:38:48,01:22:38,02:24:19,03:06:39,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161669,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
12,101,Pretty Sihite,03:10:44,Female,1,00:24:00,00:45:48,01:34:15,02:35:57,03:10:44,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161690,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
13,102,Yulianti Utari,03:15:42,Female,2,00:24:00,00:45:47,01:34:15,02:35:55,03:15:42,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161691,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
14,103,Trianingsih,03:17:21,Female,3,00:23:58,00:45:30,01:34:16,02:39:22,03:17:21,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161692,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
15,111,Anjellika Br Ginting,03:18:23,Female,4,00:24:03,00:47:19,01:40:38,02:43:17,03:18:23,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161700,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
16,13,Eldak Kafolamau,03:24:11,Male,12,00:19:15,00:38:36,01:27:48,02:34:53,03:24:11,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161676,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
17,8,Nugroho,03:26:58,Male,13,00:19:25,00:38:48,01:22:38,02:29:52,03:26:58,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161671,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
18,109,Rufina Guteri Ganggus,03:35:08,Female,5,00:24:53,00:49:15,01:43:38,02:53:21,03:35:08,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161698,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
19,104,Sharfina Sheila Rosada,03:40:14,Female,6,00:24:01,00:47:19,01:40:40,02:58:04,03:40:14,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161693,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
20,105,Steffi Audynia Candra,03:40:14,Female,7,00:24:42,00:49:16,01:43:38,02:58:15,03:40:14,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161694,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
21,107,Dwi Tiansi Anggraini,03:42:29,Female,8,00:23:59,00:45:47,01:36:00,02:54:42,03:42:29,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161696,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,3,Reza Aulia Pradipta,DNF,Male,,00:19:12,00:38:04,01:21:03,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161666,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,7,Risqi Dwi Kurniawan,DNF,Male,,00:19:14,00:38:37,01:24:05,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161670,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,12,Imam Mahdin,DNF,Male,,00:19:29,00:38:42,01:23:50,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161675,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,17,Panji Adi Putra,DNF,Male,,00:19:25,00:38:48,01:22:05,02:15:30,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,20,Takkas Sianipar,DNF,Male,,00:20:15,00:41:00,01:30:04,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161683,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,21,Benni Ardinata,DNF,Male,,00:19:01,00:37:46,01:19:13,02:14:25,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161684,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,22,Ranto,DNF,Male,,00:19:26,00:38:48,01:24:00,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161685,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,23,Hendro,DNF,Male,,00:19:42,00:38:50,01:21:55,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161686,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,24,Rahmad Setiabudi,DNF,Male,,00:18:49,00:37:30,01:19:26,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161687,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,25,Octovianus Erwin Beke,DNF,Male,,00:18:39,00:37:09,01:19:33,02:26:22,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161688,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,26,Hamdan Syafril Sayuti,DNF,Male,,00:19:27,00:38:37,01:21:36,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161689,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,106,Pesta Rameria Simanjuntak,DNF,Female,,00:24:03,00:47:19,01:40:42,02:51:51,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161695,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,108,Chandra Dewi,DNF,Female,,00:26:32,00:52:19,01:51:59,03:10:06,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161697,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,110,Ena,DNF,Female,,00:25:49,00:51:27,01:51:47,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161699,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
,11,Aditya Madya Pamungkas,DNS,Male,,,,,,,Borobudur Marathon Elite Race and Bank Jateng Young Talent,https://images.racetec.net/results/racelogo/19723/19723_123.png,Borobudur Marathon Elite Race,http://results.scorenow.co.id/myresults.aspx?uid=19723-123-1-161674,http://results.scorenow.co.id/results.aspx?CId=19723&RId=123
