Pos,Race No,Name,Time,Gender,Gen Pos,"CP 1 - KM 2,8",CP 2 - KM 6.3,"CP 3 - KM 8,8",CP 4 - KM 12,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,21057,Asep Saepudin,01:13:56,Male,1,00:10:33,00:12:38,00:08:39,00:11:08,00:30:54,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184538,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
2,21062,Sigit Nurcahyono,01:29:09,Male,2,00:11:50,00:15:28,00:10:27,00:13:28,00:37:54,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184543,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
3,21035,Steffi Audynia,01:35:08,Female,1,00:12:44,00:15:55,00:11:07,00:14:28,00:40:52,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184516,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
4,21076,SyawaL Saputra NR,01:36:21,Male,3,00:11:30,00:15:41,00:10:52,00:14:34,00:43:43,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184557,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
5,21116,21K PHM 4,01:37:27,Unknown,1,00:13:24,00:16:48,00:11:32,00:14:56,00:40:41,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185060,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
6,21103,Kardian Toyo,01:38:40,Male,4,00:11:48,00:16:41,00:11:19,00:15:14,00:43:34,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184584,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
7,21005,Fhany Kelana,01:40:20,Male,5,00:13:13,00:17:12,00:11:54,00:15:03,00:42:54,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184486,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
8,21128,21K PHM 16,01:40:27,Unknown,2,00:14:01,00:16:51,00:11:29,00:14:48,00:43:06,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185072,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
9,21077,Yulia Yulia,01:40:55,Female,2,00:13:37,00:16:44,00:11:28,00:15:07,00:43:57,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184558,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
10,21130,21K PHM 18,01:43:01,Unknown,3,00:13:32,00:16:48,00:11:40,00:15:16,00:45:41,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185074,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
11,21038,Iwan Mekedep,01:43:02,Male,6,00:13:26,00:17:04,00:11:49,00:15:30,00:45:10,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184519,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
12,21012,Rama Manggala,01:43:02,Male,7,00:13:26,00:17:04,00:11:50,00:15:31,00:45:09,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184493,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
13,21023,Eryadi Azka,01:47:01,Male,8,00:14:00,,00:41:52,00:16:28,00:48:41,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184504,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
14,21119,21K PHM 7,01:48:35,Unknown,4,00:23:08,,,,01:48:35,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185063,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
15,21015,Mahfuz B Prasetya,01:49:59,Male,9,00:14:48,00:18:27,00:12:51,00:16:31,00:47:19,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184496,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
16,21091,Daniel billardi,01:50:09,Male,10,00:14:11,,00:41:51,00:16:52,00:51:24,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184572,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
17,21067,Rudi Iyal Hendrawan,01:50:35,Male,11,00:15:03,00:18:52,00:12:52,00:17:04,00:46:34,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184548,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
18,21030,Harry Kurniawansyah,01:52:13,Male,12,00:14:57,00:18:59,00:13:00,00:17:04,00:48:11,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184511,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
19,21033,Iwan Riyawan Putra,01:52:13,Male,13,00:14:56,00:18:57,00:13:00,00:17:05,00:48:13,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184514,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
20,21043,Guntur Nugroho SP,01:52:47,Male,14,00:13:14,00:17:24,00:12:23,00:16:39,00:53:05,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184524,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
21,21088,Agung Pribadi,01:53:08,Male,15,00:14:11,,00:41:51,00:16:52,00:54:24,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184569,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
22,21016,Tias Laratte,01:53:39,Male,16,00:15:13,00:18:49,00:13:10,00:17:20,00:49:05,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184497,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
23,21112,Wijaya Sutanto,01:54:31,Male,17,00:14:52,00:19:21,00:13:31,00:17:23,00:49:15,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184589,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
24,21032,Eric Alvada,01:58:09,Male,18,00:14:13,00:21:51,00:13:06,00:16:53,00:52:01,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184513,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
25,21068,Muhammad Agung Wibowo,01:58:21,Male,19,00:16:39,00:19:41,00:15:07,00:17:27,00:49:21,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184549,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
26,21104,Phu Yuen Lim Salim Surianto,01:58:32,Male,20,00:15:55,00:20:10,00:14:07,00:17:54,00:50:22,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184585,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
27,21105,Yulia Rini,01:58:32,Female,3,00:15:56,00:20:11,00:14:06,00:17:54,00:50:22,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184586,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
28,21123,21K PHM 11,01:59:48,Unknown,5,00:16:48,00:21:07,00:14:46,00:19:10,00:47:53,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185067,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
29,21133,Pacer Firza,01:59:58,Unknown,6,00:15:43,00:19:39,00:13:34,00:17:27,00:53:33,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185077,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
30,21132,Pacer Abdurahim,01:59:58,Unknown,7,00:15:43,00:19:40,00:13:34,00:17:26,00:53:34,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185076,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
31,21134,Pacer Muhammad Dekri,01:59:58,Unknown,8,00:15:42,00:19:40,00:13:34,00:17:26,00:53:34,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185078,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
32,21050,Bimo Bimo,02:00:53,Male,21,00:16:12,00:20:26,00:14:00,00:17:58,00:52:05,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184531,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
33,21102,Benny Sentosa,02:02:22,Male,22,00:17:25,00:20:59,00:13:43,00:18:21,00:50:51,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184583,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
34,21075,Untung Suropati Senen,02:02:26,Male,23,00:14:08,00:17:42,00:13:02,00:16:44,00:48:10,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184556,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
35,21025,Liza sako,02:02:28,Female,4,00:16:17,00:20:48,00:14:39,00:18:39,00:51:58,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184506,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
36,21118,21K PHM 6,02:02:59,Unknown,9,00:17:44,00:21:56,00:16:04,00:19:41,00:47:22,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185062,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
37,21019,Jimmi Laratte,02:03:08,Male,24,00:16:50,00:21:14,00:14:51,00:18:40,00:51:31,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184500,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
38,21004,Adhitya Nurfaizal,02:03:34,Male,25,00:17:05,00:21:00,00:14:36,00:18:47,00:51:55,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184485,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
39,21131,21K PHM 19,02:04:23,Unknown,10,00:16:47,00:21:07,00:14:46,00:18:57,00:52:40,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185075,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
40,21021,Muhammad prima Putra,02:05:24,Male,26,00:16:36,00:21:13,00:14:39,00:18:45,00:53:59,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184502,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
41,21063,Darmen Gucianto,02:05:52,Male,27,00:16:26,00:20:38,00:14:16,00:18:27,00:56:02,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184544,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
42,21127,21K PHM 15,02:06:09,Unknown,11,00:16:50,00:21:03,00:13:14,00:20:41,00:54:15,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185071,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
43,21126,21K PHM 14,02:06:09,Unknown,12,00:16:52,00:21:03,00:14:46,00:19:09,00:54:14,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185070,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
44,21109,Muhammad Hadi Nugroho,02:06:27,Unknown,13,00:19:22,,00:52:13,00:18:50,00:55:23,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-185056,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
45,21110,Harmoko Harmoko,02:06:51,Male,28,00:16:59,00:21:58,00:15:25,00:19:55,00:52:28,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184587,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
46,21046,Marcel Chen,02:06:55,Male,29,00:16:03,00:20:35,00:14:24,00:18:27,00:57:21,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184527,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
47,21013,Zulfikar Idamansyah,02:07:29,Male,30,00:16:58,00:21:58,00:15:25,00:19:55,00:53:07,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184494,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
48,21072,Irsyad Satria Budiman,02:07:50,Male,31,00:17:13,00:20:42,00:14:30,00:18:43,00:56:34,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184553,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
