Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
51,1090,Anhelina Dounar,02:10:16,Female,19,Belarus,02:09:58,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187913,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
52,1016,Livia Yonatan,02:13:54,Female,20,Indonesia,02:13:48,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187839,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
53,1017,Robby Leonardo,02:13:54,Male,33,Indonesia,02:13:49,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187840,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
54,1012,Charles Harris Mathews,02:14:49,Male,34,Malaysia,02:14:42,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187835,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
55,1045,Reza Harahap,02:15:10,Male,35,Indonesia,02:14:52,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187868,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
56,1046,Han Yang Ho,02:15:14,Male,36,Malaysia,02:15:06,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187869,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
57,1008,Clenden Flant,02:16:55,Male,37,Malaysia,02:16:46,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187831,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
58,1092,Ezira Ramli,02:19:49,Female,21,Malaysia,02:19:40,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187915,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
59,1085,Dian Pramudiani,02:20:13,Female,22,Indonesia,02:20:13,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187908,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
60,1020,LE THI HONG VI,02:21:15,Female,23,Vietnam,02:21:15,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187843,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
61,1093,Dini Sefty,02:26:01,Female,24,Indonesia,02:25:55,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187916,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
62,1116,Mohd Radziq Bin Jalaludin,02:27:30,Male,38,Malaysia,02:27:16,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187939,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
63,1109,Narqes Raimi,02:27:31,Female,25,Malaysia,02:27:17,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187932,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
64,1052,Phuong Phan,02:29:05,Female,26,Vietnam,02:28:12,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187875,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
65,1024,SARJONO LELONO,02:30:08,Male,39,Indonesia,02:30:08,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187847,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
66,1115,Dewa Ayu Ertha Kumalasari Ertha,02:35:09,Female,27,Indonesia,02:34:59,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187938,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
67,1019,Jonni Marpaung,02:35:17,Male,40,Indonesia,02:35:06,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187842,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
68,1023,Retno Dewi Sukesih,02:35:29,Female,28,Indonesia,02:35:19,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187846,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
69,1011,Ian Paul Nointien,02:36:10,Male,41,Malaysia,02:36:01,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187834,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
70,1058,Ami Tantri,02:36:38,Female,29,Indonesia,02:36:26,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187881,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
71,1041,Estasia Paretta,02:36:39,Female,30,Indonesia,02:36:37,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187864,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
72,1039,Harry S Indijanto,02:37:24,Male,42,Indonesia,02:37:24,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187862,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
73,1065,Ria Widowati,02:38:15,Female,31,Indonesia,02:38:11,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187888,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
74,1080,Thanh Do Do,02:42:21,Male,43,Vietnam,02:42:10,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187903,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
75,1036,Bao Tran Le,02:42:21,Female,32,Vietnam,02:42:10,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187859,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
76,1126,BUT106,02:43:13,Unknown,1,,02:42:57,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187949,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
77,1101,Taufik Hariyanto,02:43:32,Male,44,Indonesia,02:43:17,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187924,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
78,1110,Naznin Raimi,02:43:38,Female,33,Malaysia,02:43:23,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187933,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
79,1086,Ahmad Zulfikar,02:45:27,Male,45,Indonesia,02:45:12,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187909,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
80,1010,Cory Margaretta Nadapdap,02:46:21,Female,34,Indonesia,02:46:10,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187833,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
81,1112,Norhayati Abd Wahab,02:46:33,Female,35,Malaysia,02:46:18,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187935,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
82,1004,Muhammad Havis,02:46:35,Male,46,Indonesia,02:46:24,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187827,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
83,1054,TRINH QUYEN,02:48:08,Male,47,Vietnam,02:47:56,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187877,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
84,1060,Rike Setiawati,02:49:28,Female,36,Indonesia,02:49:22,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187883,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
85,1066,Yenny Siswanto,02:49:28,Female,37,Indonesia,02:49:22,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187889,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
86,1107,Kadek Budiawan,02:49:32,Male,48,England,02:49:25,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187930,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
87,1028,Widiyanto Wirawan,02:49:35,Male,49,Indonesia,02:49:22,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187851,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
88,1057,Tran Thanh Truc Nhi,02:50:50,Female,38,Vietnam,02:49:59,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187880,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
89,1048,Ruth Febryani Nadeak,02:58:48,Female,39,Indonesia,02:58:46,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187871,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
90,1026,Le Anh Tuyet,02:59:44,Female,40,Vietnam,02:59:44,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187849,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
91,1055,Nguyen Huu Oanh,02:59:45,Male,50,Vietnam,02:59:42,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187878,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
