Pos,Bib No,Name,Time,Cat Pos,Gender,Gen Pos,Country,Swim split 750m,Swim,T1,"Bike CP 1 - km 3,90","Bike CP 2 - km 9,58","Bike CP 3 - km 15,26","Bike CP 4 - km 20,94","Bike CP 5 - km 26,62","Bike CP 6 - km 32,3",Cycle,T2,"Run CP 1 - km 2,5",Run CP 2 - km 5,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,305,UDAYANA 2,02:18:38,1,Mixed,1,Indonesia,00:12:37,00:14:16,00:02:38,00:06:59,00:10:17,00:10:38,00:10:32,00:10:19,00:10:27,00:04:21,00:00:53,00:10:55,00:10:19,00:23:20,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216720,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
2,308,UDAYANA 5,02:23:27,2,Mixed,2,Indonesia,00:13:17,,00:30:09,00:07:22,00:10:47,00:10:42,00:11:30,00:10:47,00:11:24,00:04:29,00:00:57,00:11:20,00:11:12,00:22:42,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216723,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
3,304,UDAYANA 1,02:23:34,3,Mixed,3,Indonesia,00:12:42,00:14:13,00:02:14,00:07:09,00:09:55,00:10:17,00:10:07,00:10:12,00:10:34,00:15:17,00:01:05,00:09:59,00:09:26,00:20:13,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216719,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
4,306,UDAYANA 3,02:25:18,4,Mixed,4,Indonesia,00:14:03,00:15:40,00:02:29,00:06:48,00:09:53,00:11:57,00:11:39,00:10:34,00:11:22,00:04:22,00:00:48,00:11:29,00:10:45,00:23:19,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216721,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
5,309,TIM YOSSY,02:25:44,5,Mixed,5,,,00:24:50,00:02:58,00:06:49,00:09:38,00:09:36,00:09:41,00:09:46,00:09:40,00:04:37,00:01:03,00:13:06,00:15:05,00:28:50,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216724,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
6,307,UDAYANA 4,02:28:16,6,Mixed,6,Indonesia,00:14:53,,00:33:48,00:07:16,00:10:40,00:10:42,00:11:16,00:10:51,00:11:02,00:04:30,00:00:50,00:11:27,00:10:51,00:24:59,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216722,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
7,277,TETIBA PODIUM,02:36:24,7,Mixed,7,Indonesia,00:15:13,00:16:20,00:02:46,00:06:26,00:09:04,00:09:05,00:10:26,00:09:19,00:09:26,00:04:11,00:01:13,00:15:48,00:14:04,00:32:45,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216715,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
8,310,TIM KRUGLOV,02:44:58,8,Mixed,8,Ukraine,00:08:26,00:08:37,00:02:56,00:06:01,00:09:42,00:09:36,00:09:31,00:09:32,00:09:34,00:03:52,00:01:05,,01:40:00,01:04:58,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216725,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
9,301,TIM ARADHEA,02:53:52,9,Mixed,9,,00:16:45,00:17:44,00:04:06,00:08:01,00:11:39,00:12:19,00:11:26,00:12:46,00:11:47,00:04:45,00:02:07,00:16:52,00:14:26,00:28:56,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
10,302,RIOT 1,02:56:36,10,Mixed,10,Indonesia,,00:34:18,00:02:54,00:07:34,00:11:09,00:11:16,00:11:43,00:11:39,00:11:44,00:04:54,00:01:22,00:17:31,00:15:44,00:34:42,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Relay,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-3-216717,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
